customer_key,customer_name,account_number,account_type,branch_code,account_balance,account_status,record_date,record_year
1,Customer_1,ACC10001,Savings,BR539,241798.28,Active,2025-01-31,2025
2,Customer_2,ACC10002,Current,BR932,246156.92,Inactive,2020-12-27,2020
3,Customer_3,ACC10003,Savings,BR135,260814.01,Inactive,2026-01-02,2026
4,Customer_4,ACC10004,Savings,BR863,498281.94,Active,2019-07-13,2019
5,Customer_5,ACC10005,Savings,BR717,178185.76,Inactive,2023-05-23,2023
6,Customer_6,ACC10006,Salary,BR368,228958.74,Closed,2021-11-09,2021
7,Customer_7,ACC10007,Salary,BR471,67356.09,Active,2022-01-28,2022
8,Customer_8,ACC10008,Salary,BR484,23086.06,Active,2023-08-10,2023
9,Customer_9,ACC10009,Savings,BR299,470560.13,Inactive,2021-04-27,2021
10,Customer_10,ACC10010,Current,BR890,449199.93,Inactive,2024-09-09,2024
11,Customer_11,ACC10011,Salary,BR561,218579.45,Active,2026-02-25,2026
12,Customer_12,ACC10012,Salary,BR432,422189.88,Active,2025-12-31,2025
13,Customer_13,ACC10013,Current,BR344,19425.51,Inactive,2021-03-11,2021
14,Customer_14,ACC10014,Salary,BR773,36945.35,Active,2022-01-20,2022
15,Customer_15,ACC10015,Current,BR680,472836.97,Closed,2020-05-10,2020
16,Customer_16,ACC10016,Savings,BR894,386795.92,Inactive,2020-05-10,2020
17,Customer_17,ACC10017,Savings,BR457,217182.52,Inactive,2020-07-17,2020
18,Customer_18,ACC10018,Savings,BR797,138076.99,Closed,2023-09-04,2023
19,Customer_19,ACC10019,Savings,BR985,60621.77,Inactive,2024-07-12,2024
20,Customer_20,ACC10020,Savings,BR776,324713.69,Active,2022-01-26,2022
21,Customer_21,ACC10021,Current,BR891,174438.06,Inactive,2020-08-26,2020
22,Customer_22,ACC10022,Savings,BR657,356574.03,Inactive,2021-03-09,2021
23,Customer_23,ACC10023,Savings,BR181,131621.87,Inactive,2022-04-05,2022
24,Customer_24,ACC10024,Savings,BR499,460389.4,Inactive,2025-03-19,2025
25,Customer_25,ACC10025,Savings,BR853,263151.57,Inactive,2026-03-25,2026
26,Customer_26,ACC10026,Current,BR716,250440.12,Active,2024-07-05,2024
27,Customer_27,ACC10027,Salary,BR572,449096.19,Active,2024-03-01,2024
28,Customer_28,ACC10028,Salary,BR698,175266.03,Inactive,2023-05-24,2023
29,Customer_29,ACC10029,Salary,BR269,279801.3,Active,2024-03-03,2024
30,Customer_30,ACC10030,Savings,BR992,2412.38,Closed,2023-05-02,2023
31,Customer_31,ACC10031,Savings,BR458,47278.96,Active,2019-05-28,2019
32,Customer_32,ACC10032,Current,BR953,496351.34,Inactive,2025-07-01,2025
33,Customer_33,ACC10033,Current,BR982,218818.9,Closed,2020-03-28,2020
34,Customer_34,ACC10034,Current,BR843,130301.66,Closed,2023-09-10,2023
