Customer_ID,Customer_Name,Account_Number,Account_Type,Branch,IFSC_Code,Transaction_Type,Transaction_Amount,Transaction_Date,Account_Balance
CUST0050,James Rosales,PVUC33392337222584,Current,New Kimberlyfurt,BANK75478,Credit,18932.02,2026-06-24,485968.12
CUST0051,Holly Sawyer,EPIM07725544869316,Current,Port Laura,BANK15803,Credit,52925.6,2025-08-02,179715.62
CUST0052,Carl Martin,IQAB14573801608096,Current,South Sherri,BANK11863,Debit,24970.69,2025-11-12,193486.45
CUST0053,Anne Decker,KPWG94618383401221,Savings,East Frederick,BANK96699,Debit,32263.8,2024-11-20,402762.72
CUST0054,Jared Richmond,MOLB89254688515251,Savings,South Jacob,BANK95055,Credit,85563.32,2026-02-24,110856.11
CUST0055,Elizabeth Baxter,RLKP87035441269450,Savings,Port Ericafort,BANK40733,Debit,74920.47,2025-01-15,188127.23
CUST0056,Alexandria Maldonado,YAQK52996349746042,Savings,North Michaelside,BANK18070,Credit,13563.73,2025-12-28,204184.57
CUST0057,Bonnie Wilson,ULJU58270155645118,Current,New Scott,BANK35445,Credit,42077.36,2025-11-07,109810.86
CUST0058,Dustin Barnes,BDSP05358346987096,Savings,Joneschester,BANK39163,Credit,17547.89,2024-11-30,266107.75
CUST0059,Arthur Callahan,LLFU13261738951522,Savings,Kelseytown,BANK19741,Debit,89203.98,2026-04-03,128001.37
CUST0060,Jonathan Williams,VPAJ97632914879207,Salary,South Felicia,BANK76833,Debit,4005.45,2025-02-06,40131.61
CUST0061,Richard Campbell,ARUW09153928927777,Current,North Carmen,BANK78718,Credit,41116.92,2026-06-29,32202.65
CUST0062,Allison Perez,BHTI75406085368095,Salary,Thompsonton,BANK99698,Credit,92162.9,2026-01-09,365745.47
CUST0063,Jonathan Ochoa,PVHA85798417004080,Current,West Shawn,BANK90832,Debit,66178.77,2025-06-09,285345.19
CUST0064,Michael Brown,XZAX18222557884094,Salary,Morganport,BANK96453,Debit,95995.62,2025-12-26,439203.01
CUST0065,Amy Mora,JXBI27902623980008,Salary,Port Samuelton,BANK49202,Debit,3123.24,2024-09-20,392393.82
CUST0066,Christina Martinez,JIMA20075298829607,Savings,North Derekside,BANK81607,Debit,45271.23,2024-12-04,119189.61
CUST0067,Benjamin Rivera,FKLS69514144404228,Salary,East Randy,BANK79172,Credit,82883.12,2025-02-01,460275.73
CUST0068,Matthew Bonilla,FGPX81949393285362,Salary,Leetown,BANK48615,Credit,52739.13,2026-05-10,392322.95
CUST0069,Katie Cooper,TRSV97600439710854,Savings,New Margaretburgh,BANK28588,Debit,19384.1,2025-03-20,482236.04
CUST0070,Kelly Carter,MYDZ23971062326389,Savings,Phillipport,BANK35489,Credit,39620.37,2025-04-02,241006.0
CUST0071,Terry Bradley,SGEY83909264246822,Current,New Lori,BANK33070,Credit,56554.33,2024-09-10,118230.79
CUST0072,James Martinez,XZJJ13632290838151,Salary,Gloriafurt,BANK45959,Credit,47725.8,2025-12-08,213785.81
