shipment_id,vehicle_id,driver_name,origin,destination,shipment_date,distance_km,vehicle_type,shipment_status,freight_cost
SHP0001,VH275,Louis Gray,West Brandonberg,Debrahaven,2025-10-30,702,Truck,In Transit,6062.9
SHP0002,VH719,Anthony Williams,Chasehaven,South Christopherburgh,2026-06-02,1442,Trailer,In Transit,54038.47
SHP0003,VH782,Kevin Henry II,West Kristinside,Jamieshire,2026-02-24,431,Trailer,In Transit,94994.43
SHP0004,VH851,Lucas Pruitt,North Judyfort,Lake Luisborough,2026-07-24,1197,Van,Delivered,54956.14
SHP0005,VH257,Elizabeth White,North Timothy,East Andreastad,2026-08-08,968,Van,Pending,34884.09
SHP0006,VH929,Thomas Thornton,West Haleyland,Jacobtown,2026-01-27,1398,Truck,Pending,32753.15
SHP0007,VH795,Linda Davidson,Claudiamouth,Rojasside,2025-10-02,1651,Truck,Delivered,43520.6
SHP0008,VH897,Curtis Mitchell,South Jasmin,Brownside,2026-09-02,1116,Van,In Transit,57823.58
SHP0009,VH489,Linda Jenkins,Hinesport,Freemanville,2026-06-15,651,Trailer,In Transit,74724.53
SHP0010,VH256,Carl Compton,North Brenda,Munozmouth,2026-04-12,540,Truck,Delivered,55551.6
SHP0011,VH121,David Roberson,Juliemouth,Port Monicaton,2026-03-27,1779,Truck,Delivered,21844.07
SHP0012,VH100,James Norton,East Michelleside,New Dianeview,2026-02-06,783,Van,In Transit,12594.75
SHP0013,VH540,Alexander Vega,New Beckymouth,Ortizland,2026-07-13,68,Trailer,Delivered,12098.02
SHP0014,VH237,Diana Macdonald,Payneton,Lake Amandaville,2026-02-23,1604,Van,Delivered,25635.2
SHP0015,VH620,Brandy Baker,Burtonport,South Sally,2025-11-11,110,Trailer,Delivered,89476.63
SHP0016,VH657,Renee Mcguire,Valerieton,South Hollyborough,2026-07-02,51,Van,In Transit,87203.93
SHP0017,VH152,Kimberly Shaw,Rodriguezview,Scottmouth,2025-10-24,1147,Truck,Delivered,58906.33
SHP0018,VH902,Chelsea Hunt,South Carla,Bartonberg,2026-06-21,222,Van,In Transit,55123.89
SHP0019,VH647,Angela Perkins,Port Wandaburgh,Port Rebecca,2026-06-09,1264,Van,In Transit,35921.28
SHP0020,VH874,Daniel Horton Jr.,Hernandezmouth,North Rodneyfort,2025-09-08,404,Trailer,In Transit,39850.63
